    1   0.000000           :: → ff02::1:ff94:36a1 ICMPv6 86 Neighbor Solicitation for fe80::fcf2:eaff:fe94:36a1
   35  39.101411     10.0.0.2 → 10.0.0.1     TCP 74 40783 → 32720 [SYN, ACK] Seq=0 Ack=1 Win=37792 Len=0 MSS=9460 SACK_PERM TSval=1886573482 TSecr=1758595382 WS=512
   36  39.109788     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=5001 Win=67 Len=0 TSval=1886573491 TSecr=1758595385
   37  39.138641     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=38 Win=37888 Len=0 TSval=1886573520 TSecr=1758595399
   38  39.210939     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=38 Win=37888 Len=0 TSval=1886573592 TSecr=1758595417
   39  39.219916     10.0.0.2 → 10.0.0.1     TCP 68 [TCP Previous segment not captured] 25904 → 51099 [PSH, ACK] Seq=3 Ack=122 Win=74 Len=2 TSval=1886573601 TSecr=1758595421
   40  39.235305     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=8001 Win=67 Len=0 TSval=1886573616 TSecr=1758595436
   41  39.247848     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=16001 Win=67 Len=0 TSval=1886573629 TSecr=1758595534
   42  39.259508     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=1038 Win=37376 Len=0 TSval=1886573640 TSecr=1758595534
   43  39.262158     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=1038 Win=37376 Len=0 TSval=1886573643 TSecr=1758595543
   44  39.263422     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=12001 Win=67 Len=0 TSval=1886573645 TSecr=1758595544
   45  39.265631     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=17001 Win=67 Len=0 TSval=1886573647 TSecr=1758595549
   46  39.267691     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=2038 Win=36864 Len=0 TSval=1886573649 TSecr=1758595556
   47  39.269807     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=2038 Win=36864 Len=0 TSval=1886573651 TSecr=1758595559
   48  39.273545     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=1038 Win=37376 Len=0 TSval=1886573655 TSecr=1758595534
