    1   0.000000           :: → ff02::1:ff00:1 ICMPv6 86 Neighbor Solicitation for fe80::201:aff:fe00:1
   36  38.842565     10.0.0.1 → 10.0.0.2     TCP 66 55655 → 6776 [ACK] Seq=38 Ack=2 Win=37888 Len=0 TSval=1758595223 TSecr=1886573304
   37  38.842583     10.0.0.1 → 10.0.0.2     TCP 70 55655 → 6776 [PSH, ACK] Seq=38 Ack=2 Win=37888 Len=4 TSval=1758595223 TSecr=1886573304
   38  38.846633     10.0.0.1 → 10.0.0.2     TCP 66 49189 → 42968 [ACK] Seq=38 Ack=2 Win=37888 Len=0 TSval=1758595227 TSecr=1886573308
   39  38.846648     10.0.0.1 → 10.0.0.2     TCP 70 49189 → 42968 [PSH, ACK] Seq=38 Ack=2 Win=37888 Len=4 TSval=1758595227 TSecr=1886573308
   40  38.847121     10.0.0.1 → 10.0.0.2     TCP 66 47085 → 46356 [ACK] Seq=38 Ack=2 Win=37888 Len=0 TSval=1758595228 TSecr=1886573309
   41  38.847134     10.0.0.1 → 10.0.0.2     TCP 70 47085 → 46356 [PSH, ACK] Seq=38 Ack=2 Win=37888 Len=4 TSval=1758595228 TSecr=1886573309
   42  38.849781     10.0.0.1 → 10.0.0.2     TCP 183 42763 → 35722 [PSH, ACK] Seq=42 Ack=2 Win=37888 Len=117 TSval=1758595230 TSecr=1886573314
   43  38.852064     10.0.0.1 → 10.0.0.2     TCP 74 19551 → 35722 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595233 TSecr=0 WS=512
   44  38.852941     10.0.0.1 → 10.0.0.2     TCP 183 36467 → 59433 [PSH, ACK] Seq=42 Ack=2 Win=37888 Len=117 TSval=1758595234 TSecr=1886573318
   45  38.854367     10.0.0.1 → 10.0.0.2     TCP 66 19551 → 35722 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595235 TSecr=1886573319
   46  38.854372     10.0.0.1 → 10.0.0.2     TCP 103 19551 → 35722 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595235 TSecr=1886573319
   47  38.862633     10.0.0.1 → 10.0.0.2     TCP 74 48193 → 59433 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595243 TSecr=0 WS=512
   48  38.868025     10.0.0.1 → 10.0.0.2     TCP 66 48193 → 59433 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595249 TSecr=1886573330
   49  38.868030     10.0.0.1 → 10.0.0.2     TCP 103 48193 → 59433 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595249 TSecr=1886573330
   50  38.895936     10.0.0.1 → 10.0.0.2     TCP 66 42763 → 35722 [ACK] Seq=159 Ack=3 Win=37888 Len=0 TSval=1758595277 TSecr=1886573316
